job_role,skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Data Analysis,Pandas,NumPy,Scikit-learn,Data Visualization,Deep Learning"
Machine Learning Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Scikit-learn,MLOps,Docker,Statistics,NumPy"
Data Analyst,"SQL,Excel,Data Analysis,Data Visualization,Python,Tableau,Power BI,Statistics,Reporting,Business Intelligence"
Data Engineer,"Python,SQL,Spark,Hadoop,ETL,Airflow,Data Pipelines,Cloud,AWS,Docker"
AI Engineer,"Python,Deep Learning,TensorFlow,PyTorch,NLP,Computer Vision,Machine Learning,MLOps,APIs,Cloud"
Backend Developer,"Python,Java,SQL,APIs,REST,Docker,Microservices,Node.js,PostgreSQL,Git"
Frontend Developer,"JavaScript,React,HTML,CSS,TypeScript,Git,REST APIs,UI/UX,Vue.js,Webpack"
Full Stack Developer,"JavaScript,Python,React,Node.js,SQL,REST APIs,Docker,Git,HTML,CSS"
DevOps Engineer,"Docker,Kubernetes,CI/CD,AWS,Linux,Bash,Terraform,Git,Monitoring,Ansible"
Cloud Architect,"AWS,Azure,Google Cloud,Docker,Kubernetes,Terraform,Cloud,Networking,Security,CI/CD"
Cybersecurity Engineer,"Network Security,Linux,Python,Penetration Testing,Cryptography,Firewalls,SIEM,Vulnerability Assessment,Bash,Security"
Mobile Developer,"Swift,Kotlin,React Native,Flutter,Java,APIs,Git,UI/UX,Firebase,Android"
Software Engineer,"Python,Java,Data Structures,Algorithms,Git,SQL,APIs,OOP,Testing,Docker"
Systems Administrator,"Linux,Windows Server,Networking,Bash,Active Directory,Virtualization,Monitoring,Security,Docker,Automation"
Database Administrator,"SQL,PostgreSQL,MySQL,MongoDB,Database Design,Performance Tuning,Backup,Data Modeling,Oracle,ETL"
NLP Engineer,"Python,NLP,Machine Learning,Deep Learning,TensorFlow,BERT,Text Processing,Linguistics,Scikit-learn,Transformers"
Computer Vision Engineer,"Python,Computer Vision,Deep Learning,OpenCV,TensorFlow,PyTorch,Image Processing,CNN,NumPy,Machine Learning"
Blockchain Developer,"Solidity,Ethereum,Smart Contracts,Web3,JavaScript,Cryptography,Node.js,Python,APIs,Security"
Game Developer,"Unity,C#,Game Design,3D Modeling,Physics,JavaScript,Unreal Engine,OpenGL,Git,Optimization"
Product Manager,"Agile,Scrum,Data Analysis,SQL,Roadmapping,Stakeholder Management,Business Intelligence,Excel,Communication,Strategy"
Business Intelligence Analyst,"SQL,Tableau,Power BI,Data Analysis,Excel,Business Intelligence,Reporting,ETL,Python,Statistics"
Site Reliability Engineer,"Linux,Docker,Kubernetes,Python,Monitoring,CI/CD,Automation,Bash,Cloud,Incident Management"
Automation Engineer,"Python,Selenium,Automation,Testing,CI/CD,Bash,APIs,Git,Docker,Robot Framework"
Cloud Developer,"AWS,Python,Docker,Serverless,APIs,Node.js,Terraform,CI/CD,SQL,Microservices"
